# object: IRC+10216
# time: Mon Jun  5 21:13:50 2017
# number of values:         1200
# wave      flux          stdev           line
      7.12523      23365.2      60.0986           7
      7.14307      23369.9      49.9944           7
      7.16095      23230.9      48.6058           7
      7.17887      23144.4      49.7921           7
      7.19684      23129.5      45.5124           7
      7.21486      23198.0      39.7252           7
      7.23291      23145.1      49.6703           7
      7.25102      23112.0      78.9392           7
      7.26917      23116.8      105.646           7
      7.28737      23078.9      77.6621           7
      7.30561      23107.3      69.4873           7
      7.32389      23093.3      121.089           7
      7.34223      23026.1      131.305           7
      7.36061      23191.4      125.250           7
      7.37903      23522.4      131.478           7
      7.39750      23605.7      107.925           7
      7.41602      23543.6      115.748           7
      7.43458      23599.6      115.602           7
      7.45319      23682.1      100.881           7
      7.47185      23714.8      70.1044           7
      7.49055      23811.5      54.2810           7
      7.50930      23958.9      56.9563           7
      7.52810      24048.8      87.7246           7
      7.54694      24208.9      79.4346           7
      7.56583      24253.6      105.917           7
      7.58477      24267.7      91.0262           7
      7.60375      24191.3      85.5636           7
      7.62279      23954.2      66.4135           7
      7.64187      23919.1      70.3455           7
      7.66100      23883.9      88.3761           7
      7.68017      23850.0      88.6807           7
      7.69940      23883.4      96.4424           7
      7.71867      23892.2      73.3153           7
      7.73799      23828.3      63.8262           7
      7.75736      23948.9      68.0183           7
      7.77678      24116.1      63.2970           7
      7.79625      24214.6      70.6082           7
      7.81576      24311.1      77.6824           7
      7.83532      24470.8      86.2749           7
      7.85494      24497.5      95.6265           7
      7.87460      24487.1      143.394           7
      7.89431      24672.7      152.397           7
      7.91407      24929.2      171.886           7
      7.93388      25063.1      148.275           7
      7.95374      24984.0      159.359           7
      7.97365      24925.6      141.967           7
      7.99361      24846.0      174.950           7
      8.01362      24929.0      195.641           7
      8.03368      25168.6      155.483           7
      8.05379      25238.6      91.9775           7
      8.07395      25294.4      99.2650           7
      8.09416      25357.2      100.673           7
      8.11442      25312.0      96.3618           7
      8.13473      25157.3      106.018           7
      8.15509      25104.4      108.017           7
      8.17550      25239.9      92.0899           7
      8.19597      25455.3      76.3226           7
      8.21648      25499.9      111.194           7
      8.23705      25340.3      152.314           7
      8.25767      25288.6      131.893           7
      8.27834      25447.1      143.630           7
      8.29906      25528.4      116.793           7
      8.31983      25641.9      158.628           7
      8.34066      25731.2      130.056           7
      8.36154      25603.1      133.027           7
      8.38247      25445.4      122.117           7
      8.40345      25510.5      174.153           7
      8.42448      25646.4      125.620           7
      8.44557      25703.7      111.806           7
      8.46671      25714.7      64.3697           7
      8.48791      25666.3      58.0565           7
      8.50915      25642.1      58.9540           7
      8.53045      25613.1      61.5966           7
      8.55180      25619.0      52.1951           7
      8.57321      25732.7      56.1210           7
      8.59467      25711.4      65.0726           7
      8.61618      25613.2      53.4346           7
      8.63775      25637.7      60.5160           7
      8.65937      25752.5      47.1006           7
      8.68105      25834.8      38.3792           7
      8.70278      25902.2      50.8906           7
      8.72456      25967.4      40.7161           7
      8.74640      25825.1      94.7973           7
      8.76829      25711.1      64.1021           7
      8.79024      25715.7      59.9723           7
      8.81225      25907.3      66.1742           7
      8.83430      25990.8      48.8448           7
      8.85642      25971.3      59.3415           7
      8.87859      25884.1      87.5356           7
      8.90081      25954.4      108.132           7
      8.92309      26246.7      118.355           7
      8.94543      26340.3      119.619           7
      8.96782      26404.3      133.102           7
      8.99026      26539.6      164.144           7
      9.01277      26614.4      184.149           7
      9.03533      26565.6      206.686           7
      9.05795      26597.9      236.633           7
      9.08062      26743.9      212.870           7
      9.10335      26993.9      204.509           7
      9.12613      27136.0      230.178           7
      9.14898      27229.8      189.616           7
      9.17188      27417.5      151.785           7
      9.19484      27515.2      159.229           7
      9.21785      27625.3      144.728           7
      9.24093      27498.2      146.510           7
      9.26406      27446.2      120.116           7
      9.28725      27535.4      101.050           7
      9.31050      27550.1      105.254           7
      9.33380      27490.8      95.0939           7
      9.35716      27336.2      91.8850           7
      9.38059      27141.2      99.2414           7
      9.40407      26998.6      71.0084           7
      9.42761      26999.8      57.1168           7
      9.45121      26953.5      64.1751           7
      9.47486      26791.4      63.0291           7
      9.49858      26619.9      80.4365           7
      9.52236      26390.0      76.2569           7
      9.54619      26211.4      63.3952           7
      9.57009      26161.8      76.2487           7
      9.59404      26187.9      120.294           7
      9.61806      26195.5      89.5161           7
      9.64213      26225.8      54.7863           7
      9.66627      26179.4      61.6657           7
      9.69046      26175.6      71.6738           7
      9.71472      26176.2      73.2661           7
      9.73904      26158.4      83.3247           7
      9.76342      26149.8      84.1635           7
      9.78786      26215.0      81.3332           7
      9.81236      26252.2      81.6012           7
      9.83692      26149.3      94.1977           7
      9.86154      26067.2      112.110           7
      9.88622      26205.9      109.604           7
      9.91097      26329.3      112.724           7
      9.93578      26293.2      125.293           7
      9.96065      26141.4      143.211           7
      9.98558      26116.7      100.258           7
      10.0106      26297.9      110.535           7
      10.0356      26531.4      123.428           7
      10.0608      26632.1      99.4417           7
      10.0859      26480.7      89.7576           7
      10.1112      26410.5      91.5604           7
      10.1365      26402.4      82.4721           7
      10.1619      26452.4      70.7374           7
      10.1873      26570.3      87.7031           7
      10.2128      26687.9      64.1030           7
      10.2384      26825.2      42.1501           7
      10.2640      26974.0      45.4232           7
      10.2897      27118.8      39.1465           7
      10.3154      27293.7      36.4302           7
      10.3413      27397.2      33.5077           7
      10.3672      27578.8      40.7520           7
      10.3931      27803.3      33.2657           7
      10.4191      27966.7      33.4125           7
      10.4452      28005.8      32.9919           7
      10.4713      28186.9      75.6144           7
      10.4976      28516.5      69.1006           7
      10.5238      28748.3      55.4375           7
      10.5502      28911.1      60.1656           7
      10.5766      28933.1      52.3483           7
      10.6031      29040.2      56.2463           7
      10.6296      29200.2      53.0438           7
      10.6562      29341.2      47.8554           7
      10.6829      29391.1      30.5055           7
      10.7096      29433.5      39.3685           7
      10.7364      29574.6      51.1135           7
      10.7633      29714.2      46.7211           7
      10.7902      29839.4      49.7580           7
      10.8173      29988.0      49.2137           7
